Company,Status,Latitude,Longitude
Aligned Data Centers,Location Unconfirmed,39.031542,-77.5071825
Aligned Data Centers,Location Unconfirmed,39.0151189,-77.5025485
Aligned Data Centers,Location Unconfirmed,39.0437188,-77.487235
Aligned Data Centers,Location Unconfirmed,38.9856331,-77.4732908
Allegro North Campus,In Construction,38.9551634,-77.5433493
Allegro North Campus,Location Unconfirmed,38.955222,-77.5427009
Amazon,Location Unconfirmed,38.9497051,-77.5640205
Amazon,Existing,38.9498507,-77.5603212
Amazon,Existing,38.9481453,-77.5602571
Amazon,In Construction,38.9480252,-77.5591537
Amazon,In Construction,38.9499501,-77.5590304
Amazon,Location Unconfirmed,38.944706,-77.5550574
Amazon,Location Unconfirmed,38.9453797,-77.5500017
Amazon,Location Unconfirmed,39.0559404,-77.5473153
Amazon,Location Unconfirmed,39.057494,-77.546415
Amazon,Location Unconfirmed,39.0540498,-77.5459848
Amazon,Location Unconfirmed,39.0538171,-77.5446499
Amazon,Location Unconfirmed,38.9452255,-77.5281404
Amazon,Location Unconfirmed,38.9452255,-77.5281404
Amazon,Location Unconfirmed,38.9452255,-77.5281404
Amazon,Existing,38.9479076,-77.5229585
Amazon,Existing,38.9485726,-77.5218603
Amazon,Existing,38.9489489,-77.5214712
Amazon,Existing,38.9464567,-77.521272
Amazon,Existing,38.9465664,-77.5206088
Amazon,Existing,38.9472896,-77.5205572
Amazon,Existing,38.9492565,-77.5198092
Amazon,Existing,38.9566955,-77.5006713
Amazon,Existing,38.9777421,-77.4997809
Amazon,Location Unconfirmed,38.921296,-77.4988548
Amazon,Existing,38.9576119,-77.4980641
Amazon,Location Unconfirmed,38.9593906,-77.4976209
Amazon,Existing,38.9558289,-77.4971738
Amazon,In Construction,38.9173398,-77.495198
Amazon,Existing,38.916944,-77.494709
Amazon,Location Unconfirmed,38.9811054,-77.4942246
Amazon,Existing,38.9529089,-77.4934722
Amazon,Existing,38.9529089,-77.4934722
Amazon,Existing,38.916814,-77.492859
Amazon,Existing,38.9159706,-77.492655
Amazon,Location Unconfirmed,38.975821,-77.4924265
Amazon,Existing,38.9158359,-77.4923238
Amazon,Existing,38.9183219,-77.4921221
Amazon,Location Unconfirmed,38.9150152,-77.4910148
Amazon,Existing,38.9789523,-77.4896177
Amazon,Existing,38.914574,-77.489421
Amazon,Existing,39.0056843,-77.4879176
Amazon,Location Unconfirmed,39.0089163,-77.4870672
Amazon,Location Unconfirmed,38.9945492,-77.4869515
Amazon,Proposed,38.9240838,-77.4861042
Amazon,Proposed,38.920468,-77.485754
Amazon,Existing,39.0050545,-77.4856124
Amazon,Location Unconfirmed,38.9200727,-77.4854728
Amazon,Existing,39.0027376,-77.4853845
Amazon,Proposed,38.9206267,-77.4838192
Amazon,Proposed,38.9219289,-77.4836499
Amazon,Existing,39.0021159,-77.4832811
Amazon,Proposed,38.9201437,-77.4828944
Amazon,Existing,38.9151151,-77.4817253
Amazon,Location Unconfirmed,38.915247,-77.48103
Amazon,Location Unconfirmed,38.9153989,-77.4808999
Amazon,Existing,38.9168306,-77.477673
Amazon,Existing,38.9191217,-77.4751774
Amazon,Existing,38.9966125,-77.4732969
Amazon,Existing,38.9966739,-77.4724172
Amazon,Existing,38.99513,-77.4709212
Amazon,Existing,39.0179176,-77.4708557
Amazon,Existing,38.9960679,-77.4707225
Amazon,Location Unconfirmed,39.0254088,-77.4625928
Amazon,Existing,39.0295691,-77.4596626
Amazon,Proposed,38.9996179,-77.459189
Amazon,Existing,39.0287769,-77.4582493
Amazon,Existing,39.0279099,-77.4574948
Amazon,Existing,39.01583,-77.453241
Amazon,Existing,39.0271064,-77.4528635
Amazon,Location Unconfirmed,39.033162,-77.4520452
Amazon,Existing,39.026416,-77.451216
Amazon,Existing,39.0263552,-77.450866
Amazon,Existing,39.0363305,-77.4507537
Amazon,Existing,38.9937833,-77.4505064
Amazon,Existing,39.0367692,-77.4501226
Amazon,Existing,38.9906993,-77.4488273
Amazon,Existing,38.9916925,-77.4485812
Amazon,Existing,38.9887204,-77.447663
Amazon,Existing,38.9870026,-77.4426446
Amazon,Existing,38.9862861,-77.4418455
Amazon,Existing,38.991146,-77.4413595
Amazon,Existing,38.9914391,-77.4413026
Amazon,Existing,38.991019,-77.4407945
Amazon,Existing,39.0160026,-77.4397277
Amazon,Existing,39.0169723,-77.4393229
Amazon,Existing,39.0184955,-77.4388832
Amazon,Existing,38.9897009,-77.4388807
Amazon,Location Unconfirmed,38.9927859,-77.438791
Amazon,Existing,39.0175979,-77.4383636
Amazon,Existing,38.9905717,-77.4370683
Amazon,Location Unconfirmed,38.9880367,-77.4368955
Amazon,Existing,38.9913935,-77.436408
Amazon,Existing,38.9872878,-77.435821
Amazon,Existing,38.9966,-77.435788
Amazon,Existing,38.9970561,-77.4357666
Amazon,Existing,38.9970561,-77.4357666
Amazon,Proposed,38.9865899,-77.4353196
Amazon,Existing,39.0205552,-77.4352483
Amazon,Existing,38.9950668,-77.4350707
Amazon,Existing,39.021572,-77.4347998
Amazon,Existing,38.989682,-77.434716
Amazon,Existing,39.0201514,-77.4344043
Amazon,Location Unconfirmed,38.9947489,-77.4342921
Amazon,Existing,39.0216485,-77.4328613
Amazon,Location Unconfirmed,39.0066993,-77.4291298
Amazon,In Construction,39.032032,-77.4290062
Amazon,In Construction,39.032032,-77.4290062
Amazon,In Construction,39.032032,-77.4290062
Amazon,Proposed,39.0304489,-77.4289069
Amazon,Existing,39.0292603,-77.4277771
Amazon,Existing,38.98176,-77.42714
Amazon,Location Unconfirmed,38.9838046,-77.4255258
Amazon,Existing,38.9825487,-77.4246256
Amazon,Existing,38.9825487,-77.4246256
Amazon,Existing,39.0245169,-77.4203763
Amazon,Location Unconfirmed,38.9949819,-77.4201548
Amazon,Existing,39.0245257,-77.4197741
Amazon,Existing,38.9815692,-77.4193366
Amazon,Existing,39.0236922,-77.4191827
Amazon,Location Unconfirmed,38.9835178,-77.4175351
Amazon,Existing,38.9816371,-77.4173813
Amazon,Existing,38.9816371,-77.4173813
Amazon,Existing,39.02297,-77.4170935
Amazon,Existing,38.9823,-77.417
Amazon,Location Unconfirmed,38.9828988,-77.4168384
Amazon,Location Unconfirmed,38.9775619,-77.4163987
Amazon,Location Unconfirmed,38.9851827,-77.4130266
Amazon,Location Unconfirmed,38.986879,-77.4123352
Amazon,Existing,38.9877566,-77.4109249
Amazon,Existing,38.9869039,-77.4104756
Amazon,Existing,39.0240254,-77.4104387
Amazon,Location Unconfirmed,39.0186101,-77.4103285
Amazon,Existing,39.0242467,-77.4076246
Amazon,Location Unconfirmed,38.9525659,-77.5208752
Amazon,Location Unconfirmed,38.9202422,-77.4744514
Amazon,Location Unconfirmed,39.0243919,-77.4103177
Amazon,Existing,39.0218164,-77.4089753
Amazon,Existing,39.0240688,-77.4084047
Amazon,Location Unconfirmed,39.0253946,-77.4689064
Belmont Innovation Campus Data Center,Location Unconfirmed,39.07193046,-77.50845331
BlackChamber Group,Location Unconfirmed,38.9562687,-77.5377662
BlackChamber Group,Location Unconfirmed,39.0099469,-77.4415073
BRAMBLETON SHREVEPORT SOUTH DATA CENTER,Location Unconfirmed,38.9628721,-77.5356192
BROAD RUN HOLDINGS LLC,Location Unconfirmed,38.9523781,-77.5161466
Centersquare,Location Unconfirmed,38.9802351,-77.4434735
Charles S Kuhn/JK Landholdings II LLC,Location Unconfirmed,39.0526393,-77.5629577
CloudHQ,Location Unconfirmed,39.0034331,-77.474339
Compass Datacenters,Location Unconfirmed,39.0421861,-77.5402939
Compass Datacenters,Location Unconfirmed,39.0440905,-77.5397157
Aligned Data Centers,Existing,39.0107644642698,-77.4753986063116
Aligned Data Centers,Existing,39.010247,-77.4749719
Aligned Data Centers,Existing,39.0135957,-77.4722808
Aligned Data Centers,Existing,39.0128636,-77.4718613
Aligned Data Centers,Existing,39.0136995465679,-77.4711367034202
Aligned Data Centers,Existing,"39.0134911,",-77.4737116
Aligned Data Centers,Existing,"38.9910951,",-77.4445619
Aligned Data Centers,Existing,38.992862,-77.434239
CARPENTER DRIVE LLC/ CHARLES S KUHN,Existing,38.9912378,-77.4223262
Centersquare,Existing,39.021934,-77.453287
Centersquare,Existing,39.0217301,-77.4527198
CyrusOne,Location Unconfirmed,39.025714,-77.5304315
CyrusOne,Location Unconfirmed,39.032587,-77.5272268
CyrusOne,Location Unconfirmed,38.9843205,-77.507538
CyrusOne,Location Unconfirmed,39.0273338,-77.5062907
CyrusOne,Location Unconfirmed,39.0257771,-77.4976572
CyrusOne,Location Unconfirmed,38.9806839,-77.4768679
Centersquare,Existing,39.0138341,-77.4515907
