Utility,Type,Year,Month,MonthNum,Gallons,Source,Note
Loudoun Water,Reclaimed,2019,January,1,30653599,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,February,2,29375309,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,March,3,35319674,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,April,4,38331015,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,May,5,54288953,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,June,6,51647412,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,July,7,58517145,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,August,8,77087990,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,September,9,71374793,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,October,10,63715558,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,November,11,50564457,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2019,December,12,41647071,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2020,January,1,35283261,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2020,February,2,35624246,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2020,March,3,34024797,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2020,April,4,38182102,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2020,May,5,37940820,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
Loudoun Water,Reclaimed,2020,June,6,46012308,Loudoun Water billing data (utility-reported aggregate),"Reclaimed water DC customers — includes cooling and irrigation, may include multiple buildings per premise"
