Company,Utility,Location,Date,Gallons,X,Y
Amazon,Stafford County Utilities  ,123125 Old Potomac Church Rd,12/31/2025 0:00,0,38.42,-77.41
Amazon,Spotsylvania County Utilities,4110 Overview Dr,11/30/2025 0:00,0,38.22,-77.48
Amazon,Spotsylvania County Utilities,8432 Flippo Dr,12/31/2025 0:00,0,38.19,-77.47
Amazon,Spotsylvania County Utilities,4049 Massaponax Church Rd,1/31/2026 0:00,0,38.2,-77.47
Amazon,Louisa County Water Authority ,Kentucky Spring Road & Hailey Drive,12/31/2025 0:00,0,38.05,-77.82
Amazon,King George County Sewer Authority,10900 Birchwood Dr,12/31/2025 0:00,0,38.27,-77.32
Amazon,Culpeper County Water and Sewer Authority ,20420 Germanna Hwy,12/31/2025 0:00,0,38.44,-77.88
Amazon,Fairfax Water Water Authority,7951 Loisdale Rd,3/1/2023 0:00,2131000,38.74,-77.19
Amazon,Fairfax Water Water Authority,7961 Loisdale Rd,3/1/2023 0:00,1000,38.74,-77.19
Amazon,Fairfax Water Water Authority,7961 Loisdale Rd,11/14/2025 0:00,0,38.74,-77.19
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,2/3/2023 0:00,193000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,5/1/2023 0:00,573000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,8/1/2023 0:00,3694000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,10/31/2023 0:00,3083000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,2/1/2024 0:00,129000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,5/1/2024 0:00,933000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,7/30/2024 0:00,7682000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,11/1/2024 0:00,4296000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,2/3/2025 0:00,157000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,5/5/2025 0:00,988000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,7/31/2025 0:00,4623000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,10/29/2025 0:00,3294000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4100 Westfax Dr,1/30/2026 0:00,166000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,2/3/2023 0:00,8000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,5/1/2023 0:00,7000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,8/1/2023 0:00,7000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,10/31/2023 0:00,7000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,2/1/2024 0:00,10000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,4/30/2024 0:00,54000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,7/30/2024 0:00,56000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,11/1/2024 0:00,53000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4101A Westfax Dr,1/27/2025 0:00,0,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,7/24/2023 0:00,12000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,10/20/2023 0:00,22000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,1/22/2024 0:00,32000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,4/18/2024 0:00,26000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,7/22/2024 0:00,21000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,10/22/2024 0:00,19000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,1/28/2025 0:00,24000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,4/21/2025 0:00,18000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,7/22/2025 0:00,22000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,10/23/2025 0:00,27000,38.9,-77.45
Amazon,Fairfax Water Water Authority,3980 Virginia Mallory Dr,1/20/2026 0:00,23000,38.9,-77.45
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,2/3/2023 0:00,360000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,5/4/2023 0:00,211000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,8/8/2023 0:00,3455000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,9/28/2023 0:00,334000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,11/2/2023 0:00,183000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,2/2/2024 0:00,336000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,5/6/2024 0:00,279000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,8/2/2024 0:00,413000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,11/4/2024 0:00,371000,38.91,-77.47
Amazon,Fairfax Water Water Authority,4030 Lafayette Center Dr,2/7/2025 0:00,572000,38.91,-77.47
